year,age
1980,62
1980,77
1980,87
1980,28
1980,24
1980,30
1980,63
1980,59
1980,62
1980,38
1980,74
1980,44
1980,30
1980,45
1980,65
1980,24
1980,36
1980,34
1980,81
1980,32
1980,24
1980,83
1980,73
1980,65
1980,52
1980,18
1980,67
1980,58
1980,70
1980,66
1980,24
1980,45
1980,22
1980,71
1980,57
,
1980,49
1980,60
,
1980,60
1980,61
1980,27
1980,75
1980,30
1980,25
1980,52
1980,60
1980,24
1980,67
1980,28
1980,20
1980,29
1980,35
1980,40
1980,50
1980,29
1980,60
1980,29
1980,59
1980,38
