year,age
1990,65
1990,42
1990,25
1990,39
1990,55
1990,82
1990,54
1990,61
1990,53
1990,68
1990,69
1990,79
1990,65
1990,79
1990,66
1990,28
1990,89+
1990,76
1990,51
1990,50
1990,34
1990,46
1990,38
1990,25
1990,25
1990,31
1990,23
1990,30
1990,33
1990,53
1990,44
1990,32
1990,76
1990,22
1990,43
1990,71
1990,30
1990,40
1990,40
1990,33
1990,39
1990,25
1990,30
1990,33
1990,73
1990,69
1990,33
1990,68
1990,43
1990,74
1990,20
1990,89+
1990,29
1990,56
1990,76
1990,18
1990,48
1990,40
1990,28
1990,19
